"source_id","항목명","값/범위","단위","기간","연결/별도","자료유형","문서명","공시일","평가기준일","URL 또는 파일경로","페이지/주석/셀","추출방식","최종확인일","신뢰도","비고"
"FIL-001","연결 매출액","3332442.536373","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결포괄손익계산서; data/raw/orion_dcf.xlsx 과거재무제표!F7","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","원 공시 천원 단위를 백만원으로 환산"
"FIL-002","연결 매출원가","2109116.436904","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결포괄손익계산서; data/raw/orion_dcf.xlsx 과거재무제표!F8","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","모델에서 비용을 음수로 표시"
"FIL-003","판매비","488322.410861","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43·p.106 판매비와관리비 주석; data/raw/orion_dcf.xlsx 과거재무제표!F10","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","모델에서 비용을 음수로 표시"
"FIL-004","일반관리비","176745.661416","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43·p.106 판매비와관리비 주석; data/raw/orion_dcf.xlsx 과거재무제표!F11","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","모델에서 비용을 음수로 표시"
"FIL-005","EBIT(영업이익)","558258.027192","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결포괄손익계산서; data/raw/orion_dcf.xlsx 과거재무제표!F12","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-006","법인세비용차감전순이익","546552.374993","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결포괄손익계산서; data/raw/orion_dcf.xlsx 과거재무제표!F16","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음",""
"FIL-007","법인세비용","155954.811819","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.43 연결포괄손익계산서; data/raw/orion_dcf.xlsx 과거재무제표!F17","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","모델에서 비용을 음수로 표시"
"FIL-008","D&A","164615.895","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART pp.45–46 현금흐름표·주석; data/raw/orion_dcf.xlsx 과거재무제표!F27","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","사용권자산·투자부동산 포함"
"FIL-009","유형자산 취득","122555.594615","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.47 연결현금흐름표; data/raw/orion_dcf.xlsx 과거재무제표!F28","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","현금유출을 모델상 양수 표시"
"FIL-010","무형자산 취득","23759.527941","백만원","2025","연결","공시값","[오리온]사업보고서(2026.03.18).pdf","2026-03-18","2025-12-31","https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318001895&docno=&method=search&viewerhost=","DART p.47 연결현금흐름표; data/raw/orion_dcf.xlsx 과거재무제표!F29","PDF 텍스트 대조 및 Excel 셀 확인","2026-08-18","높음","현금유출을 모델상 양수 표시"
